OBS,YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.HOUR,OUTAGE.START.DATE,Week Day,Month Day,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION.MIN,OUTAGE.DURATION.HOUR,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND
1,2011,7,Minnesota,MN,MRO,East North Central,-0.3,normal,17,"Friday, July 1, 2011",6, July 1,5:00:00 PM,"Sunday, July 3, 2011",8:00:00 PM,severe weather,NA,NA,3060,51,NA,70000,11.6,9.18,6.81,9.28,2332915,2114774,2113291,6562520,35.54907261,32.22502941,32.20243138,2308736,276286,10673,2595696,88.9448,10.644,0.4112,51268,47586,1.077375699,1.6,4802,274182,1.751391412,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
2,2014,5,Minnesota,MN,MRO,East North Central,-0.1,normal,18,"Sunday, May 11, 2014",1, May 11,6:38:00 PM,"Sunday, May 11, 2014",6:39:00 PM,intentional attack,vandalism,NA,1,0.016666667,NA,NA,12.12,9.71,6.49,9.28,1586986,1807756,1887927,5284231,30.03248722,34.21038936,35.72756376,2345860,284978,9898,2640737,88.8335,10.7916,0.3748,53499,49091,1.089792426,1.9,5226,291955,1.790001884,2.2,5457125,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
3,2010,10,Minnesota,MN,MRO,East North Central,-1.5,cold,20,"Tuesday, October 26, 2010",3, October 26,8:00:00 PM,"Thursday, October 28, 2010",10:00:00 PM,severe weather,heavy wind,NA,3000,50,NA,70000,10.87,8.19,6.07,8.15,1467293,1801683,1951295,5222116,28.09767152,34.50101453,37.36598344,2300291,276463,10150,2586905,88.9206,10.687,0.3924,50447,47287,1.066825978,2.7,4571,267895,1.706265514,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
4,2012,6,Minnesota,MN,MRO,East North Central,-0.1,normal,4,"Tuesday, June 19, 2012",3, June 19,4:30:00 AM,"Wednesday, June 20, 2012",11:00:00 PM,severe weather,thunderstorm,NA,2550,42.5,NA,68200,11.79,9.25,6.71,9.19,1851519,1941174,1993026,5787064,31.99409925,33.54333043,34.43932882,2317336,278466,11010,2606813,88.8954,10.6822,0.4224,51598,48156,1.071476036,0.6,5364,277627,1.932088738,2.2,5380443,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
5,2015,7,Minnesota,MN,MRO,East North Central,1.2,warm,2,"Saturday, July 18, 2015",7, July 18,2:00:00 AM,"Sunday, July 19, 2015",7:00:00 AM,severe weather,NA,NA,1740,29,250,250000,13.07,10.16,7.74,10.43,2028875,2161612,1777937,5970339,33.9825762,36.20585029,29.77949828,2374674,289044,9812,2673531,88.8216,10.8113,0.367,54431,49844,1.092027125,1.7,4873,292023,1.668704177,2.2,5489594,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
6,2010,11,Minnesota,MN,MRO,East North Central,-1.4,cold,15,"Saturday, November 13, 2010",7, November 13,3:00:00 PM,"Sunday, November 14, 2010",10:00:00 PM,severe weather,winter storm,NA,1860,31,NA,60000,10.63,8.34,6.15,8.28,1676347,1786144,1909874,5374150,31.19278398,33.23584195,35.53815952,2300291,276463,10150,2586905,88.9206,10.687,0.3924,50447,47287,1.066825978,2.7,4571,267895,1.706265514,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
7,2010,7,Minnesota,MN,MRO,East North Central,-0.9,cold,20,"Saturday, July 17, 2010",7, July 17,8:30:00 PM,"Monday, July 19, 2010",10:00:00 PM,severe weather,tornadoes,NA,2970,49.5,NA,63000,11.41,9.11,6.71,9.12,2187537,2100828,2084709,6374935,34.31465576,32.95450071,32.70165108,2300291,276463,10150,2586905,88.9206,10.687,0.3924,50447,47287,1.066825978,2.7,4571,267895,1.706265514,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
8,2005,6,Minnesota,MN,MRO,East North Central,0.2,normal,4,"Wednesday, June 8, 2005",4, June 8,4:00:00 AM,"Friday, June 10, 2005",10:00:00 PM,severe weather,thunderstorm,NA,3960,66,75,3.00E+05,9.1,7.22,5.69,7.36,1883344,1935444,1786652,5607498,33.58617337,34.5152865,31.86183927,2211000,255645,8266,2474912,89.3365,10.3295,0.334,52445,48090,1.090559368,2,3997,268496,1.488662773,2.1,5119598,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
9,2015,3,Minnesota,MN,MRO,East North Central,0.6,warm,7,"Monday, March 16, 2015",2, March 16,7:31:00 AM,"Monday, March 16, 2015",10:06:00 AM,intentional attack,sabotage,NA,155,2.583333333,20,5941,11.53,8.89,6.61,9.03,1844298,1956866,1795865,5599486,32.936916,34.94724337,32.07196161,2374674,289044,9812,2673531,88.8216,10.8113,0.367,54431,49844,1.092027125,1.7,4873,292023,1.668704177,2.2,5489594,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
10,2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,17,"Friday, June 21, 2013",6, June 21,5:39:00 PM,"Monday, June 24, 2013",6:00:00 AM,severe weather,hailstorm,NA,3621,60.35,NA,4.00E+05,12.71,10.31,7.29,10,1688619,1895099,1905375,5490631,30.75455262,34.51514043,34.7022956,2329734,281187,11383,2622305,88.843,10.7229,0.4341,52479,48396,1.084366477,1.7,5613,284542,1.972643757,2.3,5420541,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
11,2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,3,"Friday, June 21, 2013",6, June 21,3:00:00 AM,"Wednesday, June 26, 2013",12:00:00 PM,severe weather,hailstorm,NA,7740,129,NA,193000,12.71,10.31,7.29,10,1688619,1895099,1905375,5490631,30.75455262,34.51514043,34.7022956,2329734,281187,11383,2622305,88.843,10.7229,0.4341,52479,48396,1.084366477,1.7,5613,284542,1.972643757,2.3,5420541,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
12,2005,9,Minnesota,MN,MRO,East North Central,0,normal,19,"Wednesday, September 21, 2005",4, September 21,7:00:00 PM,"Tuesday, September 27, 2005",11:00:00 PM,severe weather,tornadoes,NA,8880,148,NA,2.00E+05,8.76,7.58,4.94,7.03,1720089,1884242,1928620,5535009,31.07653483,34.0422572,34.84402645,2211000,255645,8266,2474912,89.3365,10.3295,0.334,52445,48090,1.090559368,2,3997,268496,1.488662773,2.1,5119598,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
