Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
6.369666252,1.816825013,1.463277812,1.475625638,1.668773935,2.12942201,3.191050102,3.65224303,2.653668903,2.663771211,2.522642602,3.348874497
6.334672291,2.423899747,1.173278445,1.187683309,1.361179698,1.763737328,2.724379268,3.261026602,2.356118329,2.207783511,1.857363569,4.268761213
6.576497718,3.093702251,1.062526802,1.070367689,1.201447097,1.536435833,2.430112515,3.007512051,2.185159479,1.907216221,1.408042874,5.234993817
6.685389575,3.811317019,1.402818075,1.050393048,1.133017492,1.409855923,2.236417233,2.869918068,2.110557061,1.716741924,1.090399587,6.174565486
6.766504443,4.624007693,1.879868081,1.113300638,1.491661272,1.588905902,2.388803366,3.091661502,2.346540269,1.987460919,1.043655131,6.434227498
6.87547389,5.343510972,2.443704837,1.500516176,2.286047498,1.880337967,3.150947425,3.906353364,2.994851266,2.406917556,1.395533218,7.181252139
8.864230001,8.429890365,5.123503382,2.335028311,2.841733172,2.617101788,3.655193022,4.437762843,3.631080987,3.588582466,2.161709107,10.87577565
7.584215509,6.965094069,4.219842394,2.915926129,2.700376387,2.722105406,3.616603961,4.451195353,3.697427492,3.621935663,2.738686771,8.693246623
7.36003718,6.642723676,4.147630459,2.785979814,2.713809729,2.910760582,3.753717827,4.782354266,3.996919616,3.683053557,2.655108713,6.465880683
7.129610101,6.341323691,4.288795808,2.537036283,2.748824395,3.212549398,4.517061108,5.857477367,5.11198434,4.472779787,2.372547721,4.246462437
8.912987582,7.881626093,5.785325426,2.422289792,2.902004122,3.287995255,4.78495434,5.686018177,5.055208755,4.551762939,2.258412787,2.963250734
7.205802655,5.984162695,4.152655929,2.331608635,2.835750307,3.383223943,4.326030055,6.26785796,5.399811048,4.8906901,2.186730391,2.405227029
6.905163032,5.055331006,3.505195127,2.196800837,2.994275722,3.690208675,3.873775518,6.588419981,5.727986468,5.450650699,2.076117198,2.282297614
6.787573241,4.083915762,3.224433572,2.086941861,3.001744623,4.047335969,3.838885162,7.440246346,6.381571037,5.954865177,1.982008375,2.185018875
5.853293627,3.928783565,3.046157962,2.008193309,3.490605919,4.576003824,3.74362529,6.132896288,7.208660614,6.334317351,1.997439819,2.148119023
5.900671673,3.986488081,3.076276232,2.063804904,4.164357429,5.279000458,4.081063534,6.075090599,7.716611822,6.951478678,2.105468449,2.325367652
6.28685383,4.04411494,3.255804853,2.361843886,4.883808473,6.271086089,4.523377827,6.990520287,9.167541389,8.254394061,2.662116877,2.945615796
9.657341941,6.289184613,5.18440207,2.900115308,5.093307135,6.186128318,4.924199501,7.004168597,8.959045139,8.2235079,4.015294288,3.995166519
8.230124914,5.018901233,3.9383314,3.227160941,4.927977811,5.901508858,4.888916613,6.916302779,8.243089254,8.173969699,5.11008404,4.550527591
8.004223513,4.912966768,3.978319439,3.435939063,5.005940899,5.466743488,5.040785071,6.862789544,7.606535893,8.001977807,4.865122482,4.311213452
8.042259741,4.575687645,3.958492628,3.738031731,4.962419875,5.349348408,5.090529332,6.656915021,6.855135269,7.201043983,4.380470083,4.063939215
8.182380214,4.387809953,3.787708827,3.660229182,4.108028563,4.503878393,4.358165807,5.68132433,5.745363417,6.132634117,3.823216765,3.688448163
8.152782502,4.342765831,3.634387305,2.94382472,3.09036689,3.486985036,3.428043378,4.687869116,4.636013393,4.910636709,2.924288529,2.96651867
8.338973748,4.793266305,3.567408167,2.211069225,2.034709662,2.426462952,2.399429451,3.681231746,3.52144603,3.787794944,2.081485007,2.26591792
8.616199727,4.794630165,3.561574621,1.182859438,1.603353532,1.859651903,1.930641738,3.174814668,2.966246885,3.218524825,1.400186938,1.560823254
9.100410467,5.036092344,3.712623221,1.065197405,1.316450586,1.52675912,1.670649017,2.793878994,2.587551626,2.907460749,1.123199978,1.258341538
9.462503539,5.359394893,4.031237994,1.045153357,1.160483175,1.336654116,1.545959177,2.527017607,2.379192879,2.665211247,1.010926144,1.132866688
9.931420339,5.663904257,4.354492944,1.108025417,1.136169257,1.236539562,1.516418067,2.434474467,2.285570573,2.605132076,0.993587899,1.112570062
10.31701336,5.984805755,4.723109362,1.494115696,1.513247087,1.486928278,1.826563761,2.679934549,2.543715701,2.827073185,1.046733949,1.177072682
10.83946857,6.608407165,5.125209574,2.32707611,2.31925015,2.171299145,2.578659987,3.360478708,3.328067305,3.714019459,1.400137315,1.598349426
11.50986938,9.38649578,5.703500628,2.90932187,2.908636404,2.738797222,3.184972309,4.075920387,4.019636374,4.326930097,2.168097279,2.544518816
11.7393194,10.1933863,8.506621306,2.779156417,2.737099317,2.792595092,3.173589442,3.999478393,4.079745232,4.058673135,2.744207223,3.253115055
12.00818851,8.112132945,6.684377877,2.530689891,2.669569577,2.8359984,3.516030766,4.295027661,4.331586334,3.559283301,2.661668491,3.169028395
11.83254594,7.748696407,6.248696772,2.41694757,3.006096426,3.22097128,4.114850208,5.332682635,5.620104782,3.372944547,2.379143953,2.816575532
13.89832118,9.590514006,8.33457744,2.326931642,2.985454418,3.180044757,4.20269513,5.410489062,5.837857066,3.337040761,2.265404808,2.671951901
10.8025692,7.607951687,6.324949066,2.192874093,2.997060858,3.349457447,4.489068606,5.773348955,6.440899709,3.327386926,2.192209693,2.575507357
9.637230243,6.535845532,5.807832884,2.084021328,3.226303067,3.53553536,5.02793221,6.376509765,7.437362247,3.361124328,2.081310966,2.434585468
7.573784411,5.973837306,5.568955827,2.005475538,3.394347561,3.929384677,5.398402538,6.986078738,8.088452739,3.546519037,1.987237318,2.322126719
6.857536597,4.407362442,5.423967638,2.062217736,3.779302327,4.443255341,6.047033015,7.744929088,8.671357261,3.906975829,1.947889008,2.271576322
6.501302845,4.078531571,5.498930209,2.359862999,4.362860667,5.002701394,6.014242951,8.621516084,9.231236544,4.322776518,2.110399325,2.444530375
6.831309663,4.506113166,5.65285885,2.897570858,5.285755299,5.918976091,6.231761243,10.11896073,10.6088204,5.405248283,2.667223105,3.074057537
10.17723836,7.069587782,8.238061075,3.223797733,5.449803909,6.036421046,6.048266371,9.984054493,9.898929492,5.902496878,3.622849048,4.135359569
8.276637263,5.727197182,6.545879667,3.432430671,5.244592752,5.967615375,5.740828792,9.319974124,9.209689978,6.295437044,4.163196409,4.831573413
7.740258977,5.823351498,6.377791203,3.734636904,5.298629261,5.578161276,5.718601154,8.512887165,8.724365665,6.230864078,4.023201485,4.578329823
7.479214111,5.735132116,6.287844517,3.656947066,5.225509596,5.387717688,5.62961564,8.050234041,7.758088584,5.66543788,3.79832305,4.380448961
7.684246068,5.903047465,6.25348015,2.941041712,4.277934384,4.544785756,4.789894552,6.944985512,6.506216181,4.774343606,3.438821816,3.978649888
7.530084071,5.851169091,5.970201298,2.208539497,3.379476437,3.538051373,3.773782721,5.656365975,5.261002617,3.665555368,2.754309413,3.158288859
7.551313343,5.923341798,5.96462761,1.470105806,2.339078321,2.423296984,2.75379083,4.35817042,4.029584686,2.68029013,2.085244449,2.335194251
