Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.046822,0.0578,0.046529,0.039387,0.020911,0.005984,0,0
0.004457,0.024501,0.076933,0.010566,0.20782,0.210683,0.190047,0.166251,0.162555,0.187042,0.117477,0.051292
0.230352,0.279951,0.058967,0.3597,0.389912,0.375938,0.355201,0.198775,0.342143,0.393659,0.313901,0.076521
0.433433,0.476293,0.195497,0.086982,0.532447,0.506383,0.479444,0.279538,0.482366,0.545963,0.459229,0.209919
0.573262,0.611247,0.376286,0.090794,0.635706,0.598769,0.562966,0.345682,0.354549,0.646249,0.550171,0.392779
0.65099,0.691327,0.407377,0.293364,0.698737,0.435585,0.610027,0.29612,0.641994,0.701324,0.376322,0.479619
0.67265,0.722035,0.350957,0.285316,0.721726,0.661859,0.619345,0.304781,0.322998,0.703016,0.594516,0.614126
0.637864,0.696395,0.225556,0.679079,0.697442,0.576365,0.595304,0.396206,0.493185,0.66029,0.170474,0.538667
0.557454,0.620612,0.134713,0.456111,0.452316,0.45287,0.537728,0.300335,0.560725,0.571869,0.283314,0.480308
0.414937,0.489911,0.40543,0.476998,0.495792,0.389573,0.437591,0.460385,0.29133,0.431612,0.329397,0.285758
0.209901,0.308486,0.288397,0.12307,0.331402,0.324869,0.315594,0.218217,0.286153,0.246966,0.145409,0.131698
0,0.073747,0.093409,0.049408,0.138337,0.127182,0.159195,0.159126,0.110722,0.052624,0,0
0,0,0,0,0.011992,0.024192,0.03456,0.026223,0.001688,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.003386,0.046679,0.055958,0.051277,0.030891,0.020084,0.003292,0,0
0.00875,0.024912,0.094836,0.101827,0.205942,0.211304,0.186873,0.115441,0.161691,0.164313,0.124973,0
0.269579,0.276328,0.324751,0.167767,0.387836,0.377673,0.345547,0.097266,0.338729,0.365631,0.326804,0.028233
0.471008,0.470416,0.509635,0.24052,0.263501,0.502414,0.470072,0.099483,0.226111,0.521877,0.473742,0.036616
0.595841,0.602819,0.634788,0.372617,0.440044,0.58948,0.558083,0.151761,0.306328,0.633554,0.572863,0.076769
0.665288,0.68274,0.443323,0.421013,0.530507,0.637358,0.609116,0.322357,0.136368,0.687842,0.624994,0.029589
0.682504,0.7113,0.485783,0.400734,0.492184,0.6457,0.619583,0.412248,0.648903,0.697445,0.629927,0.067332
0.647304,0.683625,0.710082,0.455609,0.43082,0.442173,0.598112,0.268918,0.442851,0.656354,0.58577,0.132736
0.562501,0.608337,0.634523,0.353289,0.396117,0.551422,0.539365,0.200428,0.447107,0.564786,0.497811,0.098858
0.428487,0.483777,0.266147,0.113298,0.288738,0.450058,0.448754,0.297832,0.089485,0.429495,0.357082,0.054564
0.224675,0.300881,0.066774,0.08717,0.156139,0.277887,0.320173,0.223101,0.043025,0.246583,0.162187,0.030641
0,0.039161,0.100052,0,0.075532,0.147586,0.159044,0.161791,0.047496,0.051815,0,0
0,0,0,0,0,0.02634,0.034605,0.024545,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.049869,0.050292,0.01649,0,0.016633,0.004698,0,0
0.000126,0.017462,0.077964,0.088957,0.053928,0.176118,0.188765,0.091728,0.066338,0.182364,0.140763,0.047126
0.243081,0.091421,0.274513,0.220908,0.212999,0.374343,0.351571,0.237396,0.129581,0.386631,0.353837,0.259473
0.433247,0.411524,0.010873,0.107092,0.257911,0.499511,0.473424,0.482391,0.078677,0.534946,0.503524,0.424644
0.557834,0.509378,0.379154,0.315266,0.266201,0.42899,0.561812,0.57808,0.211757,0.633841,0.605352,0.161343
0.629279,0.196049,0.498769,0.075972,0.20623,0.366753,0.611087,0.363896,0.207815,0.683564,0.652575,0.310415
0.643849,0.295791,0.183837,0.114431,0.28115,0.641856,0.557943,0.649418,0.485629,0.687306,0.655056,0.164991
0.607422,0.166348,0.681844,0.160758,0.233475,0.612113,0.138447,0.624977,0.515156,0.643228,0.608687,0.141136
0.098685,0.084894,0.621907,0.240658,0.182229,0.547164,0.551323,0.566871,0.415577,0.556013,0.518959,0.128559
0.057666,0.038807,0.504397,0.144601,0.137012,0.446193,0.302009,0.348885,0.363138,0.419632,0.372216,0.061506
0.023627,0.010598,0.339959,0.168908,0.169079,0.303684,0.325171,0.331051,0.13782,0.23713,0.171061,0.121973
0,0.002478,0.122916,0.051463,0.081616,0.142209,0.161626,0.157198,0.026494,0.047524,0,0
0,0,0,0,0.015889,0.02643,0.035145,0.02564,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.009087,0.003585,0.035528,0.047843,0.030693,0.015494,0.003561,0,0
0.001709,0.001322,0.107652,0.166418,0.035431,0.056453,0.187872,0.178918,0.085821,0.171042,0.073373,0.048448
0.182959,0.053801,0.338859,0.38131,0.087292,0.140607,0.353741,0.35598,0.150926,0.367112,0.125414,0.269714
0.090108,0.163952,0.516425,0.403886,0.124309,0.159352,0.482684,0.488154,0.480189,0.507787,0.281119,0.216945
0.086867,0.100732,0.63701,0.674875,0.209337,0.35111,0.321443,0.584944,0.274548,0.598453,0.34623,0.265455
0.129562,0.134555,0.702027,0.739279,0.345654,0.175815,0.634203,0.642384,0.482628,0.652735,0.183148,0.606192
0.138377,0.21497,0.721922,0.757309,0.354976,0.603878,0.649975,0.656969,0.65066,0.661966,0.342059,0.397717
0.3052,0.255185,0.694008,0.721542,0.469498,0.356432,0.629793,0.631547,0.618519,0.626263,0.270417,0.579605
0.178964,0.264472,0.626165,0.64208,0.420157,0.174709,0.569998,0.463614,0.483807,0.543164,0.276588,0.242578
0.091233,0.138032,0.513395,0.512807,0.454364,0.422377,0.471519,0.101899,0.210107,0.414156,0.336309,0.206413
0.049043,0.086222,0.342822,0.343766,0.305175,0.306491,0.336909,0.178752,0.250459,0.234392,0.145138,0.131933
0,0.028957,0.122005,0.113145,0.132524,0.116185,0.166609,0.137257,0.102914,0.044684,0,0
0,0,0,0.001151,0.01497,0.030803,0.030728,0.027007,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.009492,0.049816,0.051379,0.042315,0.031298,0.019416,0.003155,0,0
0.003416,0,0.100656,0.112599,0.203966,0.170678,0.185934,0.171276,0.170755,0.164815,0.128172,0.026069
0.082262,0.005637,0.323293,0.300513,0.374037,0.278405,0.347798,0.341321,0.355888,0.357645,0.335906,0.176262
0.38954,0.008417,0.497368,0.419088,0.502003,0.206676,0.471515,0.47171,0.497186,0.494529,0.487682,0.261314
0.519329,0.027481,0.616012,0.394991,0.405599,0.392386,0.562995,0.567973,0.599924,0.584176,0.242488,0.355445
0.600782,0.052372,0.68876,0.311578,0.247574,0.178902,0.617535,0.501049,0.654799,0.625842,0.423117,0.415988
0.287995,0.126954,0.714866,0.391538,0.509317,0.189435,0.630007,0.392495,0.666465,0.63635,0.65353,0.349994
0.611343,0.106839,0.690749,0.495133,0.494874,0.338938,0.609272,0.544565,0.635111,0.604115,0.606793,0.441807
0.528867,0.093199,0.624598,0.275203,0.569126,0.264582,0.416658,0.250277,0.561064,0.522947,0.511816,0.480056
0.370869,0.071686,0.506083,0.141013,0.467393,0.206202,0.354071,0.272478,0.442808,0.392868,0.360219,0.127013
0.181669,0.034234,0.335303,0.100843,0.319261,0.190448,0.321578,0.326549,0.284466,0.15344,0.161927,0.138286
0,0.018505,0.117768,0.019169,0.137782,0.074739,0.160194,0.156148,0.10555,0.026395,0,0
0,0,0,0,0.014285,0.029823,0.034824,0.022025,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.048391,0.05947,0.044983,0.029685,0.018782,0.002105,0,0
0.004164,0.023859,0.085946,0.025743,0.228403,0.213885,0.188175,0.171673,0.16288,0.157432,0.101342,0.002445
0.262659,0.160167,0.281162,0.059079,0.41858,0.382552,0.353064,0.341417,0.207417,0.216895,0.00308,0.040878
0.457206,0.312845,0.386316,0.059625,0.556427,0.509333,0.477224,0.474813,0.125581,0.385328,0.174543,0.280044
0.405588,0.640093,0.44256,0.139144,0.653073,0.600747,0.564275,0.574199,0.216518,0.445803,0.223021,0.537825
0.652529,0.733111,0.606459,0.180301,0.707777,0.523095,0.615756,0.633629,0.465061,0.490288,0.197939,0.465515
0.674542,0.770811,0.728621,0.085755,0.720103,0.664303,0.625152,0.645865,0.502703,0.521885,0.278223,0.598102
0.644067,0.746778,0.536742,0.139687,0.689148,0.637173,0.601616,0.623866,0.02102,0.297112,0.333857,0.32796
0.50473,0.669194,0.521062,0.273537,0.615007,0.573296,0.356504,0.148118,0.163865,0.51115,0.014617,0.270834
0.430391,0.531687,0.500449,0.12763,0.498071,0.471514,0.440755,0.405436,0.12556,0.382272,0.016219,0.035056
0.231866,0.336052,0.325225,0.105412,0.337338,0.331544,0.248367,0.325398,0.146405,0.207496,0.001089,0.145333
0,0.089831,0.110717,0.027008,0.142849,0.15702,0.087465,0.104071,0,0.033778,0,0
0,0,0,0,0.013578,0.026817,0.027001,0.023813,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.016752,0.04666,0.0573,0.046112,0.033179,0,0.001848,0,0
0.003639,0.031985,0.056363,0.042875,0.23171,0.22238,0.184762,0.169636,0.00231,0.161217,0.13724,0.004531
0.167028,0.280506,0.181693,0.122113,0.419857,0.393558,0.346646,0.34224,0.060828,0.355617,0.356816,0.062544
0.376898,0.477109,0.225623,0.546214,0.547959,0.517634,0.470656,0.47986,0.026784,0.498827,0.514055,0.138492
0.469015,0.610396,0.282224,0.660116,0.638242,0.601421,0.556251,0.577915,0.027755,0.598182,0.614571,0.319814
0.630463,0.692192,0.414093,0.718005,0.688558,0.646791,0.600725,0.513253,0.067766,0.313673,0.669068,0.354799
0.659302,0.719118,0.363205,0.736216,0.691465,0.66227,0.285279,0.553442,0.04974,0.425945,0.675525,0.318226
0.502309,0.693233,0.408554,0.706005,0.661148,0.638895,0.577494,0.497354,0.047108,0.280989,0.631727,0.554852
0.326917,0.615381,0.306266,0.631385,0.585828,0.573591,0.532513,0.504111,0.22869,0.375938,0.539283,0.277844
0.413488,0.486207,0.066014,0.504984,0.472462,0.46848,0.44646,0.466026,0.244901,0.259953,0.393622,0.087771
0.198923,0.30439,0.225433,0.336105,0.324141,0.28488,0.311195,0.327744,0.077417,0.216353,0.183195,0.027231
0,0.080285,0.076761,0.132042,0.141804,0.080654,0,0.153973,0.015419,0.03439,0,0
0,0,0,0.003293,0.01513,0.030966,0,0.021981,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
