Year,Month,Outage Hour,Week Day,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2003,5,2,5,5/15/2003,2:52 AM,5/15/2003,3:30:00 AM,0.63,North Texas,ERCOT,,Interruption of Firm ,476,192000
2003,7,8,3,7/15/2003,8:24 AM,7/21/2003,10:30:00 AM,146.1,Texas,ERCOT,,Hurricane Claudette,230-300,108000
2004,3,5,5,3/4/2004,5:00 AM,3/16/2004,2:45:00 PM,297.75,North Texas,ERCOT,,High Winds - Severe Storm,Less than 300,63000
2004,3,13,4,3/17/2004,1:27 PM,3/17/2004,2:06:00 PM,0.65,"El Paso, Texas",WECC,,Faulty Switch,Approx. 300,"Approx. 100,000"
2004,4,20,7,4/10/2004,8:00 PM,4/11/2004,4:00:00 PM,20,"Houston, Texas and surrounding suburban areas",ERCOT,,Thunderstorms,Approx. 100,"85,000 at peak"
2004,5,15,3,5/11/2004,3:30 PM,5/11/2004,6:00:00 PM,2.5,"Houston, Texas and surrounding suburban areas",ERCOT,,Strong Thunderstorms,Approx. 85,"62,500 at peak "
2004,6,17,3,6/1/2004,5:00 PM,6/2/2004,1:00:00 AM,8,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",ERCOT,,Severe Storms with Strong Winds,1900,500000
2004,8,10,2,8/2/2004,10:00 AM,8/2/2004,8:00:00 PM,10,Southeast Texas,SPP,,Unplanned Generator Outage/High Loads Made Public Appeal,-,-
2004,11,22,3,11/23/2004,10:00 PM,11/24/2004,1:00:00 AM,3,"Houston, Texas and surrounding suburban areas",ERCOT,,Strong Thunderstorms,150,119000
2005,5,15,1,5/8/2005,3:00 PM,5/8/2005,10:00:00 PM,7,"Houston, Texas and surrounding suburban areas",ERCOT,,Strong Thunderstorms,672,243000
2005,5,20,1,5/29/2005,8:00 PM,5/30/2005,2:30:00 AM,6.5,"Houston, Texas and surrounding suburban areas",ERCOT,,Strong Thunderstorms,328,123000
2005,7,N/A,6,7/1/2005,N/A,N/A,N/A,N/A,"Texas, New Mexico, Oklahoma, Kansas",ERCOT,,Fuel Supply - Deficiency Coal Rail Transporation Interruption,0,0
2005,9,17,6,9/23/2005,5:00 PM,9/24/2005,8:00:00 PM,N/A,"Houston, Texas and the surrounding suburban areas",ERCOT,,Hurricane Rita,1950,715000
2005,9,21,6,9/23/2005,9:00 PM,9/25/2005,7:30:00 AM,34.5,"Texas, Louisiana, Arkansas, and Mississippi",SPP,,Hurricane Rita,N/A,766000
2006,3,14,5,3/9/2006,2:00 PM,3/9/2006,10:00:00 PM,8,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,,Severe Weather,N/A,73000
2006,4,15,2,4/17/2006,3:25 PM,4/17/2006,7:30:00 PM,4.08,ERCOT Region of Texas,ERCOT,,Load Shed/Declared EECP,1000,200000
2006,4,16,2,4/17/2006,4:10 PM,4/17/2006,6:11:00 PM,2.02,System-wide greater Houston metro area (and across ERCOT),ERCOT,,Load Shed/Made Public Appeals/Rolling Blackouts,260,68000
2006,4,16,2,4/17/2006,4:11 PM,4/17/2006,7:20:00 PM,3.15,North and East Texas,ERCOT,,Load Shed/ Declared EECP,380,489478
2006,4,16,2,4/17/2006,4:20 PM,4/17/2006,6:30:00 PM,2.17,State of Texas (all of Austin Energy),ERCOT,,Load Shed/Made Public Appeals/Rolling Blackouts,37- 40,"8,000 -10,000"
2006,4,16,2,4/17/2006,4:35 PM,4/17/2006,6:10:00 PM,1.58,AEP Texas Central/Texas North,ERCOT,,Load Shed/Declared EECP,108,51404
2006,4,7,6,4/21/2006,7:00 AM,4/21/2006,10:00:00 AM,3,System-wide greater Houston metro area,ERCOT,,Severe Weather,219,82000
2006,11,10,4,11/15/2006,10:00 AM,11/15/2006,8:00:00 PM,10,System-wide greater Houston area,ERCOT,,High Winds,221,83000
2007,3,7,7,3/31/2007,7:30 AM,3/31/2007,7:00:00 PM,11.5,"Houston, Texas",ERCOT,,Severe Thunderstorms,179,67000
2007,5,13,4,5/2/2007,1:30 PM,5/3/2007,8:00:00 PM,30.5,"North Texas, Dallas Fort Worth Metroplex and Surrounding Counties, South to Waco and North to Red River",ERCOT,,Severe Storms,-,300000
2007,8,14,3,8/14/2007,2:00 PM,8/14/2007,6:00:00 PM,4,"CSWS Control Area of Southwest Power Pool Parts of Oklahoma, Texas, Louisiana, Arkansas",SPP,,Declared Energy Emergency Alert2/Heat Wave,20,-
2007,9,7,4,9/5/2007,7:53 AM,9/5/2007,1:11:00 PM,5.3,"Central Texas, ERCOT Grid",ERCOT,,Severe Weather/Transmission Fault-Units Tripped,1084,N/A
2007,9,4,5,9/13/2007,4:00 AM,9/14/2007,7:00:00 AM,27,"Between Galveston and Beaumont, Texas",SPP,,Hurricane Humberto,N/A,118000
